layer,-1.0,0.0,1.0,15.0,20.0
10,2.159476,1.393804,1.177667,104.426600,148.944548
20,1.312150,1.393804,1.492357,3.173504,2.013005
30,1.364537,1.393804,1.434250,5.694380,6.505456
